theta,phi,psi,altitude,vx,vy,vz,accelx,accely,accelz,yaw1,yaw2
-5004.0,-6935.0,-68746.0,1202.0,-5004.0,-6935.0,-68746.0,-566.829,-58.622,-849.81,33.497,187.51
-4142.0,-6716.0,-68900.0,1202.0,-4142.0,-6716.0,-68900.0,-559.646,-58.533,-856.98,36.625,191.08
-3259.0,-6486.0,-69051.0,1202.0,-3259.0,-6486.0,-69051.0,-546.65,-55.676,-863.69,39.511,194.97
-2356.0,-6245.0,-69199.0,1202.0,-2356.0,-6245.0,-69199.0,-530.768,-55.733,-872.85,42.124,199.08
-1429.0,-5995.0,-69345.0,1211.0,-1429.0,-5995.0,-69345.0,-518.374,-53.623,-884.4,44.665,203.49
-479.0,-5736.0,-69488.0,1211.0,-479.0,-5736.0,-69488.0,-506.045,-48.622,-895.41,47.18,208.26
494.0,-5471.0,-69627.0,1211.0,494.0,-5471.0,-69627.0,-491.021,-37.644,-903.75,49.376,212.88
1494.0,-5201.0,-69762.0,1211.0,1494.0,-5201.0,-69762.0,-474.395,-22.669,-909.96,51.369,217.97
2523.0,-4928.0,-69892.0,1211.0,2523.0,-4928.0,-69892.0,-458.816,-14.415,-916.54,52.719,223.4
3578.0,-4653.0,-70015.0,1211.0,3578.0,-4653.0,-70015.0,-446.343,-6.914,-925.81,53.946,228.89
4666.0,-4377.0,-70130.0,1211.0,4666.0,-4377.0,-70130.0,-433.916,1.456,-937.18,54.943,235.15
5781.0,-4101.0,-70235.0,1211.0,5781.0,-4101.0,-70235.0,-419.027,11.369,-945.53,55.649,240.75
6926.0,-3824.0,-70330.0,533.0,6926.0,-3824.0,-70330.0,-404.771,21.288,-948.75,56.3,246.54
8100.0,-3548.0,-70413.0,533.0,8100.0,-3548.0,-70413.0,-391.159,25.759,-950.22,56.613,252.22
9296.0,-3272.0,-70482.0,533.0,9296.0,-3272.0,-70482.0,-379.634,25.809,-952.39,56.625,256.98
10517.0,-2995.0,-70538.0,533.0,10517.0,-2995.0,-70538.0,-370.18,22.184,-956.98,56.823,261.8
11755.0,-2714.0,-70578.0,533.0,11755.0,-2714.0,-70578.0,-361.984,16.908,-963.7,57.053,265.6
13005.0,-2430.0,-70604.0,533.0,13005.0,-2430.0,-70604.0,-352.848,10.252,-969.79,57.294,268.37
14268.0,-2140.0,-70614.0,533.0,14268.0,-2140.0,-70614.0,-342.543,1.638,-975.51,57.621,270.92
15533.0,-1845.0,-70606.0,533.0,15533.0,-1845.0,-70606.0,-333.77,-8.601,-983.81,57.684,271.91
16798.0,-1542.0,-70581.0,532.0,16798.0,-1542.0,-70581.0,-328.389,-20.678,-999.29,57.86,272.3
18058.0,-1229.0,-70538.0,532.0,18058.0,-1229.0,-70538.0,-325.939,-36.762,-1018.98,58.403,272.02
20540.0,-563.0,-70395.0,532.0,20540.0,-563.0,-70395.0,-306.189,-70.915,-1057.57,60.258,268.03
21754.0,-208.0,-70295.0,532.0,21754.0,-208.0,-70295.0,-288.747,-84.663,-1076.0,61.252,264.34
22943.0,157.0,-70177.0,532.0,22943.0,157.0,-70177.0,-266.995,-93.448,-1089.38,61.876,259.58
24106.0,538.0,-70041.0,532.0,24106.0,538.0,-70041.0,-243.357,-102.538,-1101.52,62.721,254.56
25240.0,934.0,-69889.0,532.0,25240.0,934.0,-69889.0,-217.893,-112.222,-1112.35,63.827,249.07
26351.0,1343.0,-69721.0,539.0,26351.0,1343.0,-69721.0,-185.546,-116.654,-1118.93,64.753,244.15
27440.0,1764.0,-69540.0,539.0,27440.0,1764.0,-69540.0,-146.982,-116.408,-1116.75,65.685,239.55
28509.0,2195.0,-69347.0,539.0,28509.0,2195.0,-69347.0,-112.9,-114.82,-1108.86,66.034,235.35
29562.0,2631.0,-69146.0,539.0,29562.0,2631.0,-69146.0,-85.413,-111.502,-1096.14,66.046,231.86
