theta,phi,psi,altitude,vx,vy,vz,accelx,accely,accelz,yaw1,yaw2
-835.0,992.0,120692.0,223.0,-835.0,992.0,120692.0,8.5,-22.49,-978.44,0.343,0.12
-834.0,993.0,120693.0,223.0,-834.0,993.0,120693.0,8.343,-22.443,-975.77,0.32,0.21
-833.0,993.0,120693.0,223.0,-833.0,993.0,120693.0,8.21,-24.763,-975.3,0.315,0.15
-832.0,993.0,120694.0,223.0,-832.0,993.0,120694.0,5.849,-24.722,-978.48,0.229,0.25
-831.0,994.0,120694.0,223.0,-831.0,994.0,120694.0,3.441,-24.039,-978.2,0.267,0.17
-831.0,994.0,120695.0,223.0,-831.0,994.0,120695.0,4.024,-26.559,-980.08,0.165,0.15
-831.0,994.0,120695.0,223.0,-831.0,994.0,120695.0,4.409,-24.109,-982.64,0.193,0.19
-830.0,993.0,120696.0,223.0,-830.0,993.0,120696.0,4.335,-21.337,-984.46,0.122,0.19
-830.0,992.0,120696.0,223.0,-830.0,992.0,120696.0,4.494,-22.238,-986.5,0.207,0.04
-831.0,993.0,120697.0,223.0,-831.0,993.0,120697.0,4.462,-22.44,-983.65,0.354,-0.04
-832.0,993.0,120697.0,223.0,-832.0,993.0,120697.0,4.477,-22.31,-980.99,0.269,-0.06
-833.0,993.0,120698.0,223.0,-833.0,993.0,120698.0,4.506,-22.336,-979.37,0.34,-0.04
-833.0,993.0,120698.0,223.0,-833.0,993.0,120698.0,4.546,-22.296,-977.27,0.261,0.04
-833.0,993.0,120699.0,223.0,-833.0,993.0,120699.0,4.665,-22.321,-977.72,0.249,0.01
-834.0,993.0,120699.0,223.0,-834.0,993.0,120699.0,7.116,-22.29,-978.0,0.3,-0.16
-834.0,993.0,120700.0,223.0,-834.0,993.0,120700.0,9.44,-24.609,-977.74,0.293,-0.1
-835.0,994.0,120700.0,223.0,-835.0,994.0,120700.0,8.823,-26.864,-977.77,0.279,-0.16
-835.0,995.0,120701.0,223.0,-835.0,995.0,120701.0,8.481,-26.256,-977.76,0.286,-0.07
-835.0,995.0,120701.0,223.0,-835.0,995.0,120701.0,8.611,-25.954,-977.78,0.28,-0.06
-836.0,995.0,120702.0,223.0,-836.0,995.0,120702.0,6.232,-26.194,-980.2,0.137,-0.11
-836.0,996.0,120702.0,223.0,-836.0,996.0,120702.0,3.958,-26.234,-982.58,0.192,0.02
-837.0,995.0,120703.0,223.0,-837.0,995.0,120703.0,4.461,-26.262,-981.99,0.125,-0.0
-836.0,996.0,120703.0,223.0,-836.0,996.0,120703.0,4.718,-26.283,-981.67,0.206,0.18
-835.0,997.0,120704.0,223.0,-835.0,997.0,120704.0,6.867,-26.379,-981.8,0.359,0.2
-835.0,997.0,120704.0,223.0,-835.0,997.0,120704.0,6.781,-26.422,-981.76,0.267,0.07
-835.0,998.0,120705.0,223.0,-835.0,998.0,120705.0,3.799,-24.065,-981.87,0.336,0.13
-835.0,998.0,120705.0,223.0,-835.0,998.0,120705.0,6.404,-21.776,-981.85,0.262,-0.01
-834.0,997.0,120706.0,223.0,-834.0,997.0,120706.0,9.13,-22.32,-981.8,0.105,0.09
-833.0,997.0,120706.0,223.0,-833.0,997.0,120706.0,8.332,-22.541,-981.8,0.204,0.27
-831.0,996.0,120707.0,223.0,-831.0,996.0,120707.0,8.132,-22.32,-981.81,0.134,0.31
-829.0,995.0,120707.0,223.0,-829.0,995.0,120707.0,8.335,-22.351,-981.81,0.057,0.32
-827.0,994.0,120708.0,223.0,-827.0,994.0,120708.0,8.374,-22.369,-981.81,0.121,0.31
-826.0,993.0,120709.0,223.0,-826.0,993.0,120709.0,8.379,-22.445,-981.8,0.01,0.22
-825.0,991.0,120709.0,223.0,-825.0,991.0,120709.0,6.044,-22.569,-984.24,-0.046,0.26
-825.0,991.0,120710.0,223.0,-825.0,991.0,120710.0,3.794,-22.708,-986.62,0.17,0.16
-825.0,989.0,120710.0,223.0,-825.0,989.0,120710.0,4.341,-22.757,-986.02,0.005,0.05
-826.0,989.0,120711.0,223.0,-826.0,989.0,120711.0,4.655,-22.781,-985.71,0.163,-0.1
-827.0,989.0,120711.0,223.0,-827.0,989.0,120711.0,4.546,-25.132,-985.83,0.241,-0.17
-828.0,989.0,120712.0,223.0,-828.0,989.0,120712.0,4.619,-24.949,-983.4,0.13,-0.11
-829.0,989.0,120712.0,223.0,-829.0,989.0,120712.0,4.697,-21.913,-981.13,0.251,-0.11
-830.0,988.0,120713.0,223.0,-830.0,988.0,120713.0,4.972,-22.195,-984.09,0.173,-0.06
-831.0,987.0,120713.0,223.0,-831.0,987.0,120713.0,5.081,-24.913,-984.3,0.001,-0.09
-832.0,987.0,120714.0,223.0,-832.0,987.0,120714.0,5.048,-24.454,-981.2,0.107,-0.12
-833.0,985.0,120714.0,223.0,-833.0,985.0,120714.0,5.067,-21.609,-981.58,0.03,-0.1
-833.0,984.0,120715.0,223.0,-833.0,984.0,120715.0,5.001,-21.895,-982.05,0.1,0.04
-833.0,984.0,120715.0,223.0,-833.0,984.0,120715.0,4.876,-22.454,-981.84,0.266,0.12
-832.0,983.0,120716.0,223.0,-832.0,983.0,120716.0,4.741,-22.314,-981.89,0.019,0.14
-832.0,982.0,120716.0,223.0,-832.0,982.0,120716.0,4.591,-22.437,-981.86,0.136,0.12
-833.0,980.0,120717.0,223.0,-833.0,980.0,120717.0,4.442,-22.458,-981.9,-0.138,-0.1
-834.0,979.0,120717.0,223.0,-834.0,979.0,120717.0,4.312,-22.496,-981.88,-0.02,-0.02
-834.0,978.0,120718.0,223.0,-834.0,978.0,120718.0,4.237,-22.487,-981.88,0.114,-0.04
-835.0,978.0,120718.0,223.0,-835.0,978.0,120718.0,4.24,-22.503,-981.88,0.245,0.02
-834.0,978.0,120719.0,223.0,-834.0,978.0,120719.0,4.314,-22.524,-981.88,0.255,0.16
-834.0,978.0,120719.0,223.0,-834.0,978.0,120719.0,6.799,-22.529,-981.83,0.212,0.07
-833.0,977.0,120720.0,223.0,-833.0,977.0,120720.0,9.302,-22.579,-984.18,0.117,0.13
-832.0,976.0,120720.0,223.0,-832.0,976.0,120720.0,8.78,-22.479,-984.14,0.023,0.2
-832.0,976.0,120721.0,223.0,-832.0,976.0,120721.0,8.395,-22.277,-981.22,0.255,0.01
-831.0,975.0,120721.0,223.0,-831.0,975.0,120721.0,8.549,-22.234,-981.5,0.126,0.02
-832.0,975.0,120722.0,223.0,-832.0,975.0,120722.0,8.479,-22.245,-981.97,0.267,-0.07
-832.0,975.0,120722.0,223.0,-832.0,975.0,120722.0,6.076,-22.243,-981.81,0.33,-0.07
-832.0,974.0,120723.0,223.0,-832.0,974.0,120723.0,3.743,-22.26,-981.9,0.083,0.19
-832.0,974.0,120723.0,223.0,-832.0,974.0,120723.0,4.381,-22.293,-981.86,0.254,0.1
-831.0,974.0,120724.0,223.0,-831.0,974.0,120724.0,4.735,-22.313,-981.89,0.113,0.12
-832.0,973.0,120724.0,223.0,-832.0,973.0,120724.0,4.59,-22.325,-981.88,0.17,-0.07
-833.0,973.0,120725.0,223.0,-833.0,973.0,120725.0,2.256,-22.324,-981.92,0.23,-0.03
-834.0,973.0,120725.0,223.0,-834.0,973.0,120725.0,-0.1,-22.332,-981.97,0.176,0.08
-834.0,971.0,120726.0,223.0,-834.0,971.0,120726.0,0.409,-22.279,-979.57,0.023,0.26
-833.0,970.0,120726.0,223.0,-833.0,970.0,120726.0,0.619,-22.217,-977.23,0.095,0.4
-832.0,970.0,120727.0,223.0,-832.0,970.0,120727.0,0.459,-22.255,-977.82,0.162,0.29
-832.0,969.0,120727.0,223.0,-832.0,969.0,120727.0,0.466,-22.289,-978.13,0.057,0.27
-832.0,969.0,120728.0,223.0,-832.0,969.0,120728.0,2.731,-22.328,-977.91,0.183,0.09
-832.0,967.0,120728.0,223.0,-832.0,967.0,120728.0,2.599,-22.343,-977.96,-0.016,0.17
-833.0,965.0,120729.0,223.0,-833.0,965.0,120729.0,-0.384,-22.315,-978.0,-0.078,0.14
-833.0,964.0,120729.0,223.0,-833.0,964.0,120729.0,2.355,-22.419,-980.36,0.033,0.07
-833.0,963.0,120730.0,223.0,-833.0,963.0,120730.0,3.0,-22.593,-985.06,0.061,0.25
-833.0,962.0,120730.0,223.0,-833.0,962.0,120730.0,0.043,-22.639,-986.87,-0.048,0.1
-834.0,962.0,120731.0,223.0,-834.0,962.0,120731.0,0.464,-22.624,-985.97,0.229,0.11
-834.0,961.0,120731.0,223.0,-834.0,961.0,120731.0,1.001,-22.625,-985.82,0.117,0.1
-835.0,961.0,120732.0,223.0,-835.0,961.0,120732.0,0.887,-22.608,-985.95,0.225,-0.01
-836.0,962.0,120732.0,223.0,-836.0,962.0,120732.0,0.955,-22.556,-985.92,0.414,-0.02
-837.0,962.0,120733.0,223.0,-837.0,962.0,120733.0,0.939,-22.476,-985.91,0.212,0.17
-837.0,962.0,120733.0,223.0,-837.0,962.0,120733.0,0.982,-22.377,-985.9,0.316,0.14
-836.0,961.0,120734.0,223.0,-836.0,961.0,120734.0,3.248,-22.209,-983.48,0.139,0.25
-835.0,961.0,120735.0,223.0,-835.0,961.0,120735.0,5.457,-22.064,-981.1,0.15,0.38
-834.0,960.0,120735.0,223.0,-834.0,960.0,120735.0,4.83,-22.049,-981.7,0.138,0.2
-833.0,960.0,120736.0,223.0,-833.0,960.0,120736.0,4.414,-24.436,-981.96,0.218,0.17
-834.0,961.0,120736.0,223.0,-834.0,961.0,120736.0,4.45,-26.813,-981.74,0.344,0.04
-834.0,962.0,120737.0,223.0,-834.0,962.0,120737.0,4.322,-26.349,-981.8,0.268,0.0
-834.0,963.0,120737.0,223.0,-834.0,963.0,120737.0,4.305,-26.146,-981.8,0.334,0.07
-833.0,964.0,120738.0,223.0,-833.0,964.0,120738.0,4.334,-26.367,-981.81,0.255,0.28
-832.0,964.0,120738.0,223.0,-832.0,964.0,120738.0,4.452,-26.328,-981.8,0.251,0.32
