theta,phi,psi,altitude,vx,vy,vz,accelx,accely,accelz,yaw1,yaw2
-1398.0,-85393.0,116508.0,409.0,-1398.0,-85393.0,116508.0,-6.134,1016.75,-75.82,0.094,-0.52
-1398.0,-85393.0,116511.0,409.0,-1398.0,-85393.0,116511.0,-8.985,1016.685,-75.87,0.183,-0.62
-1398.0,-85394.0,116514.0,409.0,-1398.0,-85394.0,116514.0,-8.649,1016.639,-75.87,0.055,-0.56
-1398.0,-85395.0,116517.0,409.0,-1398.0,-85395.0,116517.0,-8.133,1016.653,-75.86,0.058,-0.52
-1398.0,-85395.0,116520.0,409.0,-1398.0,-85395.0,116520.0,-8.324,1016.719,-75.86,0.264,-0.58
-1399.0,-85395.0,116523.0,409.0,-1399.0,-85395.0,116523.0,-8.274,1016.803,-75.86,0.339,-0.57
-1399.0,-85394.0,116526.0,409.0,-1399.0,-85394.0,116526.0,-5.878,1016.782,-78.21,0.347,-0.55
-1399.0,-85392.0,116528.0,409.0,-1399.0,-85392.0,116528.0,-3.496,1016.767,-80.5,0.48,-0.57
-1399.0,-85392.0,116531.0,409.0,-1399.0,-85392.0,116531.0,-4.249,1016.98,-77.53,0.184,-0.56
-1398.0,-85392.0,116534.0,409.0,-1398.0,-85392.0,116534.0,-4.691,1017.174,-74.89,0.193,-0.42
-1398.0,-85392.0,116536.0,409.0,-1398.0,-85392.0,116536.0,-4.45,1017.125,-78.04,0.285,-0.47
-1397.0,-85392.0,116538.0,409.0,-1397.0,-85392.0,116538.0,-2.152,1017.106,-78.2,0.083,-0.41
-1396.0,-85392.0,116540.0,409.0,-1396.0,-85392.0,116540.0,-2.333,1017.159,-75.12,0.324,-0.35
-1396.0,-85392.0,116543.0,409.0,-1396.0,-85392.0,116543.0,-5.285,1017.065,-75.48,0.136,-0.54
-1395.0,-85393.0,116548.0,409.0,-1395.0,-85393.0,116548.0,-4.653,1016.884,-73.36,0.235,-0.54
-1395.0,-85394.0,116551.0,409.0,-1395.0,-85394.0,116551.0,-4.868,1016.793,-73.46,0.189,-0.61
-1394.0,-85394.0,116554.0,409.0,-1394.0,-85394.0,116554.0,-4.686,1016.636,-76.36,0.184,-0.51
-1394.0,-85395.0,116558.0,409.0,-1394.0,-85395.0,116558.0,-4.568,1016.678,-75.61,0.041,-0.46
-1394.0,-85396.0,116560.0,409.0,-1394.0,-85396.0,116560.0,-4.501,1016.717,-75.83,0.096,-0.37
-1395.0,-85397.0,116563.0,409.0,-1395.0,-85397.0,116563.0,-4.443,1019.109,-75.83,0.042,-0.51
-1395.0,-85399.0,116566.0,409.0,-1395.0,-85399.0,116566.0,-4.431,1019.082,-75.85,-0.028,-0.64
-1396.0,-85399.0,116569.0,409.0,-1396.0,-85399.0,116569.0,-4.484,1016.212,-75.76,0.173,-0.54
